country,country_code,year,exports_pct_gdp,gdp,gdp_per_capita,imports_usd,population,poverty_rate,tertiary_education
Argentina,ARG,2015,10.705652050453766,594749285413.2124,13679.626498095417,70064879911.7042,43477012.0,,83.75569332589
Argentina,ARG,2016,12.527095169000932,557532320662.9546,12699.962313775635,75639254067.66081,43900313.0,30.3,86.6743832906399
Argentina,ARG,2017,11.320283359673338,643628393281.364,14532.500930851062,89910495566.93843,44288894.0,25.7,89.3297346952415
Argentina,ARG,2018,14.436685749903372,524819892360.1758,11752.799892297908,85681309473.2328,44654882.0,32.0,91.0846512732766
Argentina,ARG,2019,17.924878377846202,447754683615.22455,9955.974786804276,65845624691.10797,44973465.0,35.5,95.1928240640628
Argentina,ARG,2020,16.605414437248417,385740508436.9652,8535.59938004389,52454091268.18863,45191965.0,42.0,99.3697348717996
Argentina,ARG,2021,18.066709169036486,486564085480.0355,10738.017922338438,73042905138.06071,45312281.0,37.3,107.219557633976
Argentina,ARG,2022,16.281667725325406,633993756301.0798,13962.189408722319,96991607940.8038,45407904.0,39.2,107.103901423423
Argentina,ARG,2023,12.822312096104724,649461687959.1744,14261.84656679479,89980573297.99,45538401.0,41.7,107.822574129434
Argentina,ARG,2024,15.249748592882387,638365455340.0404,13969.78366037374,80944817978.28096,45696159.0,38.1,
Belize,BLZ,2015,51.566768546271234,2193095150.0,6154.622642303688,1151466850.0,356333.0,,23.4350622690571
Belize,BLZ,2016,47.30726729283215,2239604950.0,6140.867139194692,1101719200.0,364705.0,,24.4760136680388
Belize,BLZ,2017,49.80959747523006,2266028250.0,6071.854518464531,1085374500.0,373202.0,,24.731690676743
Belize,BLZ,2018,51.73513993881793,2285915050.0,6011.990368885873,1125906300.0,380226.0,52.0,24.5883446033139
Belize,BLZ,2019,52.01891988488014,2381187850.0,6171.614497614228,1200664850.0,385829.0,,25.138736158351
Belize,BLZ,2020,37.6373221387979,2047284600.0,5238.540781756958,900924400.0,390812.0,,25.9421694120047
Belize,BLZ,2021,47.58148217727761,2428606250.0,6142.9893055703105,1248326800.0,395346.0,,23.6813942822198
Belize,BLZ,2022,52.57878742439215,2846604350.0,7068.217280431452,1573075200.0,402733.0,,23.9767727412258
Belize,BLZ,2023,54.93084185131147,3052362650.0,7424.758213210218,1571040800.0,411106.0,,22.3734089825019
Belize,BLZ,2024,55.22339364966973,3203631800.0,7681.244005831128,1721921750.0,417072.0,,24.8098643151325
Bolivia,BOL,2015,30.868296029124544,33000198248.914616,2996.0128981134417,12231374703.328508,11014705.0,,
Bolivia,BOL,2016,24.48800553944644,33941126193.921852,3035.8734773213155,10831641432.706223,11180020.0,43.0,
Bolivia,BOL,2017,19.53886666850879,45927439594.79016,4048.4011973983856,11958240289.4356,11344587.0,42.2,
Bolivia,BOL,2018,20.355058928554364,48414038842.2576,4206.855293666104,12864160303.907381,11508368.0,39.9,
Bolivia,BOL,2019,20.047439935224862,49056643589.00145,4203.15492855788,12643630390.73806,11671386.0,37.2,
Bolivia,BOL,2020,16.87175316977856,42313784081.04197,3580.9676177830274,8735545774.24023,11816299.0,39.0,
Bolivia,BOL,2021,23.552515626564382,47877892402.31548,4010.7605368620434,11545547250.361794,11937360.0,36.4,
Bolivia,BOL,2022,27.793991504201543,50959081953.6903,4219.461137424454,15150615137.48191,12077154.0,37.7,
Bolivia,BOL,2023,22.402809538164856,52340206946.454414,4274.70820547613,14239423386.396526,12244159.0,36.5,
Bolivia,BOL,2024,21.43506242959999,54881327452.96671,4421.166098899988,14018232749.638205,12413315.0,37.7,
Brazil,BRA,2015,12.900191418648557,1802211999456.4155,8936.195588944402,253272683229.7499,201675532.0,,49.0805015563965
Brazil,BRA,2016,12.466679042812453,1795693265999.0378,8836.285460256942,216686360894.1631,203218114.0,,48.9665794372559
Brazil,BRA,2017,12.518967870501399,2063514688805.7754,10080.507872282147,243510550194.841,204703445.0,,50.7326316833496
Brazil,BRA,2018,14.634999495879605,1916933708352.7053,9300.660729040037,272994437656.1939,206107261.0,,52.05712890625
Brazil,BRA,2019,14.122919190909478,1873288158838.6255,9029.83304401079,276634806846.04175,207455459.0,,53.6215400695801
Brazil,BRA,2020,16.453552009970927,1476107292151.9543,7074.194074957075,233941255872.59473,208660842.0,,55.529109954834
Brazil,BRA,2021,19.109430368696383,1670647464062.9622,7972.536960806947,309853321037.1937,209550294.0,,57.6311988830566
Brazil,BRA,2022,19.630765003483795,1951923832083.8743,9281.332821368642,374482461947.99805,210306415.0,,61.0000915527344
Brazil,BRA,2023,17.969324303265843,2191131869706.0227,10377.58977191948,343939899556.73175,211140729.0,,
Brazil,BRA,2024,17.93857943981277,2185821648943.8604,10310.548877816553,385708875013.773,211998573.0,,69.7317733764648
Chile,CHL,2015,29.19107949033236,242450355830.88394,13433.920298703233,73118253440.05112,18047625.0,11.2,86.4181137084961
Chile,CHL,2016,27.923158109822072,249344863928.43762,13649.85204528032,70152436857.03998,18267221.0,,88.8458862304688
Chile,CHL,2017,28.3313768341631,276154259981.0972,14879.90862271865,76480320653.88876,18558868.0,8.5,89.921989440918
Chile,CHL,2018,28.529044739757925,295857562991.70905,15659.480867562766,87715867712.67728,18893191.0,,91.1974792480469
Chile,CHL,2019,27.874667757051203,278285058719.4661,14495.716721686993,82753869493.53824,19197744.0,,92.0659713745117
Chile,CHL,2020,31.330390242861206,254042159309.31055,13114.815470545014,68216603050.373146,19370624.0,10.7,89.1124877929688
Chile,CHL,2021,31.9927952679237,315325547162.07153,16206.832549342107,103693579744.00876,19456334.0,,96.2227935791016
Chile,CHL,2022,35.606628272313685,301226575540.2417,15405.616577407298,119270630866.65292,19553036.0,6.5,99.3372802734375
Chile,CHL,2023,30.81106207353217,335518054097.63696,17067.036479915365,100365735356.33804,19658835.0,,104.734062194824
Chile,CHL,2024,33.723321174660846,330267137371.5923,16709.889397230672,99531074992.59248,19764771.0,,110.176902770996
Colombia,COL,2015,15.6502115094968,293492370193.1661,6248.514905345122,66653739135.96891,46969940.0,36.8,54.7961311340332
Colombia,COL,2016,14.717139278197507,282720100286.22815,5959.842503675744,60743865896.62728,47437512.0,36.8,57.1437492370605
